Batch Counter	ReportTime	Service	Node Id	RefreshTime	Request Count	RequestPendingCount	RequestPendingDuration	Request Timeout Count	Task Count	TaskBacklog	Task Timeout Count	Task Hung Count	Thread Abandoned Count
16	星期六 二月 01 13:52:51 CST 2014	DistributedCache	1	星期六 二月 01 13:52:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
16	星期六 二月 01 13:52:51 CST 2014	Management	1	星期六 二月 01 13:52:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
17	星期六 二月 01 13:53:51 CST 2014	DistributedCache	1	星期六 二月 01 13:53:51 CST 2014	174.0	0	0	0.0	0.0	0	0.0	0	0.0
17	星期六 二月 01 13:53:51 CST 2014	Management	1	星期六 二月 01 13:53:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
18	星期六 二月 01 13:54:52 CST 2014	DistributedCache	1	星期六 二月 01 13:54:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
18	星期六 二月 01 13:54:52 CST 2014	Management	1	星期六 二月 01 13:54:52 CST 2014	1.0	0	0	0.0	0.0	0	0.0	0	0.0
19	星期六 二月 01 13:55:52 CST 2014	DistributedCache	1	星期六 二月 01 13:55:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
19	星期六 二月 01 13:55:52 CST 2014	Management	1	星期六 二月 01 13:55:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
20	星期六 二月 01 13:56:52 CST 2014	DistributedCache	1	星期六 二月 01 13:56:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
20	星期六 二月 01 13:56:52 CST 2014	Management	1	星期六 二月 01 13:56:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
21	星期六 二月 01 13:57:52 CST 2014	DistributedCache	1	星期六 二月 01 13:57:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
21	星期六 二月 01 13:57:52 CST 2014	Management	1	星期六 二月 01 13:57:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
22	星期六 二月 01 13:58:52 CST 2014	DistributedCache	1	星期六 二月 01 13:58:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
22	星期六 二月 01 13:58:52 CST 2014	Management	1	星期六 二月 01 13:58:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
23	星期六 二月 01 13:59:52 CST 2014	DistributedCache	1	星期六 二月 01 13:59:52 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
23	星期六 二月 01 13:59:52 CST 2014	Management	1	星期六 二月 01 13:59:52 CST 2014	1.0	0	0	0.0	0.0	0	0.0	0	0.0
